Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_CfgVehicles_fabo_virtual_garage_title,"Parquímetro","Parking Meter","Parkovací hodiny","Parkuhr","Парковочные часы","Parkomat","Parkóra","Parcometro","Parquímetro","Parcomètre","停车计时器","駐車メーター","Parquímetro","停车收费表",
STR_CfgVehicles_fabo_virtual_garage_description,"Garagem virtual para armazenamento de veículos","Virtual garage for vehicle storage","Virtuální garáž pro uložení vozidel","Virtuelle Garage zur Fahrzeuglagerung","Виртуальный гараж для хранения транспортных средств","Wirtualny garaż na przechowywanie pojazdów","Virtuális garázs járműtároláshoz","Garage virtuale per il deposito dei veicoli","Garaje virtual para el almacenamiento de vehículos","Garage virtuel pour le stockage des véhicules","虛擬車庫，用於儲存車輛。","車両の保管のための仮想ガレージ。","Garagem virtual para armazenamento de veículos","用于车辆存储的虚拟车库",

STR_Action_fabo_virtual_garage_disable,"Desativar","Deactivate","Deaktivovat","Deaktivieren","Деактивировать","Deaktywować","Inaktív","Disattiva","Desactivar","Désactiver","停用。","非アクティブ化。","Desativar","停用。",
STR_Action_fabo_virtual_garage_enable,"Ativar","Activate","Aktivovat","Aktivieren","Активировать","Aktywować","Aktivál","Attiva","Activar","Activer","激活。 ","アクティブ化。","Ativar","激活。",
STR_Action_fabo_virtual_invalid_owner,"Dono Inválido","Invalid Owner","Neplatný vlastník","Ungültiger Besitzer","Недопустимый владелец","Nieprawidłowy właściciel","Érvénytelen tulajdonos","Proprietario non valido","Propietario no válido","Propriétaire invalide","所有者无效。","所有者が無効です。","Dono Inválido","所有者无效。",

fabo_bttn_parkin,"Store Vehicle","Store Vehicle","Uložte vozidlo. ","Fahrzeug speichern. ","Сдать автомобиль. ","Przechowuj pojazd. ","Jármű tárolása. ","Negozio Veicolo. ","Vehículo de la tienda. ","Véhicule de magasin. ","存放車輛. ","店舗車両. ","Guardar veículo.","存放车辆. ",
fabo_bttn_parkout,"Get Vehicle","Get Vehicle","Získejte vozidlo. ","Fahrzeug holen. ","Получить автомобиль. ","Zdobądź pojazd. ","Szerezzen járművet. ","Ottieni veicolo. ","Obtener vehículo. ","Obtenir un véhicule. ","獲取車輛. ","車両を入手する. ","Obter veículo. ","获取车辆. ",
fabo_garage_title,"Virtual Garage","Virtual Garage","Virtuální garáž. ","Virtuelle Garage. ","Виртуальный гараж. ","Wirtualny garaż. ","Virtuális garázs. ","Garage virtuale. ","Garaje virtual. ","Garage virtuel. ","虛擬車庫. ","バーチャルガレージ. ","Garagem Virtual. ","虚拟车库. ",
fabo_list_title,"Vehicles","Vehicles","Vozidla. ","Fahrzeuge. ","Транспортные средства. ","Pojazdy. ","Járművek. ","Veicoli. ","Vehículos. ","Véhicules. ","車輛. ","車両. ","Veículos. ","车辆. ",
fabo_parking_availability,"Parking Availability","Parking Availability","Dostupnost parkování. ","Verfügbarkeit von Parkplätzen. ","Наличие парковки. ","Dostępność parkingu. ","Parkolási lehetőség. ","Disponibilità di parcheggio. ","Disponibilidad de estacionamiento. ","Disponibilité du stationnement. ","停車位. ","駐車場の空き状況. ","Estacionamento disponível.","停车位. ",
